Village name,geographic region,location,geo-coordinates,1901 TC,1901 GC,1901 AC,1946 TC,1946 GC,1946 AC,1960 TC,1960 GC,1960 AC,1973 TC,1973 GC,1973 AC,2000s TC,2000s GC,2000s AC,recording link (period)
AGIA,Nicosia,N,35°06′31″N 33°33′48″E,253,0,0,413,0,0,418,0,0,529,0,0,590,0,0,
Agia Marina,Nicosia,N,"35°13′0″N, 33°8′0″E",38,0,92,37,0,287,65,0,375,0,0,414,0,0,0,
AGLANGIA,Nicosia,S,35.14592°N 33.390169°E,31,488,0,131,1877,153,316,3593,266,0,5730,32,0,18953,0,
AGIOS SOZOMENOS,Nicosia,S,35°3′57″N 33°26′18″E,68,44,0,128,36,0,172,25,0,0,0,0,0,0,0,
AGIOS VASILEIOS,Nicosia,N,35°13′9″N 33°10′59″E,60,182,0,74,341,0,117,492,0,0,611,0,0,0,0,
DALI,Nicosia,S,35°1′16″N 33°25′12″E,120,989,0,151,1814,0,206,2403,0,74,2978,0,0,5834,0,
GEROLAKKOS,Nicosia,N,35°11′N 33°15′E,10,575,0,36,1347,0,2,1863,0,0,2455,0,2539,0,0,
NICOSIA/ LEFKOSİA,Nicosia,N/S,35°10′21″N 33°21′54″E,5992,8489,0,10330,20768,3387,14686,27645,3298,?,?,?,?,?,?,Nicosia_Track2_50.116907_to_56.920946.wav (2000s)
MORPHOU,Nicosia,N,35°11′53″N 32°59′38″E,114,2648,0,179,5267,0,123,6480,0,0,7465,0,12391,0,0,
LIMASSOL/LEMOSSOS,Limassol,S,34°40′29″N 33°02′39″E,1937,6361,0,3444,18630,0,6115,31263,?,8000,34206,?,0,94250,0,
EPISKOPI,Limassol,S,34°40′15″N 32°54′7″E,547,345,0,659,572,0,1144,817,0,1596,844,0,0,3076,0,
PAPHOS,Paphos,S,34°46′N 32°25′E,1564,1570,0,2147,3617,0,2851,6232,0,?,?,?,0,26530,0,020b_Xios_Kypros_Samos_HS_d_17.wav (1973)
GEROSKIPOU,Paphos,S,34°46′N 32°28′E,119,569,0,147,1225,0,170,1552,0,0,2021,0,0,5509,0,
POLIS,Paphos,S,35°2′0″N 32°26′0″E,256,344,0,427,771,0,664,963,0,714,747,0,0,1262,0,
RIZOKARPASSO,Famagusta,N,35°35′55″N 34°22′50″E,16,2283,0,11,4052,0,2,3151,0,0,2626,0,1935,0,0,004b_TimiPafou_Kypros_1969_HS_c1.wav (1973)
TRIKOMO,Famagusta,N,35°17′15″N 33°53′30″E,15,1247,0,6,2081,0,7,2188,0,2323,0,0,3657,0,0,
AKANTHOU,Famagusta,N,35°22′27″N 33°45′21″E,51,1352,0,8,1782,0,0,1507,0,0,1294,0,1160,0,0,
LEFKONOİKO,Famagusta,N,35°15′36″N 33°43′54″E,118,1713,0,126,2470,0,3,2355,0,0,2116,0,1309,0,0,
KYRENIA,Kyrenia,N,35°20′25″N 33°19′09″E,487,849,0,572,2204,0,696,2373,0,1000,2635,0,23839,0,0,
KORMAKITI,Kyrenia,N,35°20′34″N 33°00′39″E,10,0,503,0,5,889,0,18,1093,0,0,1257,0,0,195,
ASOMATOS,Kyrenia,N,35°16′33″N 33°06′25″E,0,0,240,0,5,412,0,9,497,0,0,527,82,0,0,
KARPASEIA,Kyrenia,N,35°17′52″N 33°04′16″E,0,67,0,0,4,179,0,3,190,0,0,245,89,0,0,
LAPITHOS,Kyrenia,N,35°21′19″N 33°11′52″E,269,2445,0,312,2997,0,370,3124,0,0,3196,0,5658,0,0,
LARNACA,Larnaca,S,34°55′N 33°38′E,2004,5960,0,2928,10605,?,4058,13101,?,4000,14914,?,0,46666,0,
LEFKARA,Larnaca,S,34°52′N 33°18′E,270,2055,0,473,2530,0,361,1714,0,31,1330,0,0,1039,0,
PERGAMOS,Larnaca,N,35°2′34″N 33°42′25″E,120,13,0,452,0,0,826,0,0,1190,0,0,3403,0,0,
AGIOS THEODOROS,Larnaca,S,34°47′59″N 33°23′2″E,380,396,0,701,700,0,685,525,0,732,459,0,599,0,0,
